Date,Price,Open,High,Low,Vol.,Change %
18-Feb-16,34.28,34.91,35.73,33.79,324.10K,-0.64
17-Feb-16,34.5,32.54,34.99,31.82,355.92K,7.21
16-Feb-16,32.18,34.51,35.55,31.92,398.49K,-3.62
15-Feb-16,33.39,32.77,34.09,32.67,160.51K,0.09
12-Feb-16,33.36,31.31,33.44,30.85,394.48K,10.98
11-Feb-16,30.06,30.83,31.35,29.92,347.59K,-2.53
10-Feb-16,30.84,30.95,31.9,30.35,332.99K,1.72
9-Feb-16,30.32,33.17,33.56,30.28,305.77K,-7.79
8-Feb-16,32.88,33.99,34.68,32.77,211.55K,-3.46
5-Feb-16,34.06,34.39,35.14,33.81,296.57K,-1.16
4-Feb-16,34.46,35.32,35.84,34.15,323.93K,-1.66
3-Feb-16,35.04,32.41,35.53,32.3,396.58K,7.09
2-Feb-16,32.72,34.18,34.18,32.23,346.89K,-4.44
1-Feb-16,34.24,35.85,36.25,33.92,331.87K,-1.44
29-Jan-16,34.74,34.08,35,33.59,29.66K,2.51
28-Jan-16,33.89,32.84,35.84,32.56,195.14K,2.39
27-Jan-16,33.1,31.2,33.49,30.83,257.11K,4.09
26-Jan-16,31.8,30.01,32.72,29.27,335.09K,4.26
